hybrid_rank,user_id,username,pp_rank,pp,elo_rank,elo_rating,elo_estimated,otr_rank,otr_rating,otr_estimated,tournaments_played,matches_played,plays,provisional,hybrid_score
5429,16799786,Freqing,3573,11617,3049,1810,,6184,1166,,16,44,4,yes,0.24194451504672138
5430,4073754,nat,10848,9458,2935,1814,,2577,1306,,5,22,18,yes,0.2419291025007408
5431,12744303,SleepyAniki,10002,9618,2819,1819,,,1288,yes,0,0,3,yes,0.2416499085532366
5432,7236909,Forse,8181,10018,,1828,yes,3120,1270,,6,19,0,,0.24152833185468336
5433,13361670,vames,6387,10457,6574,1706,,,1339,yes,0,0,2,yes,0.2414760170035581
5434,23297527,No Life,6315,10480,4453,1759,,,1340,yes,0,0,8,yes,0.2412865701744612
5435,4601372,CozyMF,8370,9967,,1826,yes,3179,1267,,3,7,0,,0.24105735276334245
5436,9014487,spector15155,8895,9837,3817,1779,,,1301,yes,0,0,1,yes,0.24102531221914122
5437,15838971,Jude-,8952,9823,3743,1782,,,1301,yes,0,0,1,yes,0.24069470497204498
5438,3974292,blourgh,10575,9509,1855,1868,,4192,1223,,7,22,14,yes,0.24062150563267423
5439,22364261,subzoomer,7612,10148,3563,1788,,,1319,yes,0,0,38,,0.24031480743660544
5440,25536460,noun123z,6841,10332,8783,1661,,,1331,yes,0,0,1,yes,0.2400939084200144
5441,5323280,Seoulsim,7081,10270,,1836,yes,3649,1245,,5,13,0,,0.24000665925785328
5442,11118720,36R,4090,11340,,1868,yes,7359,1141,,3,9,0,,0.2399411089002979
5443,13707766,vulkan enjoyer,7521,10171,,1833,yes,8511,1118,,1,1,0,,0.2396108046131545
5444,18887065,footstrepsils,7475,10184,3860,1777,,,1321,yes,0,0,8,yes,0.23948958130682868
5445,10065568,LoonW,2852,12088,5531,1730,,7225,1143,,1,4,7,yes,0.23948457400335407
5446,9122645,Mifu,6498,10422,4353,1762,,,1337,yes,0,0,8,yes,0.23948292799664456
5447,13260523,Schoki,8437,9950,3525,1790,,,1307,yes,0,0,6,yes,0.23947869543413602
5448,24574728,trreee,10719,9483,2797,1819,,,1280,yes,0,0,25,,0.23943798528385735
5449,22726534,_Shark_,5194,10848,9530,1648,,2688,1299,,2,6,2,yes,0.23942969618810034
5450,7474075,cute princess,5189,10850,5199,1739,,,1362,yes,0,0,9,yes,0.23933584485719048
5451,4065138,Lee Jung Hyun,7904,10085,2734,1822,,3589,1247,,4,14,4,yes,0.23926862036980537
5452,10472784,Prime,3747,11514,6417,1709,,,1399,yes,0,0,11,yes,0.23917035257200459
5453,8349047,Flameshock,6555,10406,,1840,yes,3632,1246,,18,56,0,,0.23874920772901206
5454,8149705,Stardust,7424,10194,,1833,yes,3591,1247,,2,10,0,,0.23849176873614952
5455,1048423,Shigure chan,10607,9501,,1810,yes,2413,1318,,1,7,0,,0.23825321292034285
5456,2259709,No01,7584,10155,8404,1668,,2517,1311,,2,5,1,yes,0.2382428280467041
5457,16816141,GabiBoltZ,3851,11456,3644,1785,,5406,1185,,7,15,10,yes,0.2380832542551804
5458,11356954,maeve,10286,9564,2917,1815,,,1285,yes,0,0,18,yes,0.23789097885555482
5459,16825848,Jollyms,6327,10475,,1842,yes,6241,1165,,2,3,0,,0.23783386310143625
5460,13626098,soyorin,4330,11218,2276,1843,,6013,1170,,71,224,5,yes,0.23769396675733181
5461,14047737,Stemuu,6442,10441,1774,1874,,8867,1111,,5,15,27,,0.23766653621713338
5462,25300323,_-Astra-_,7184,10250,3771,1780,,,1325,yes,0,0,19,,0.23751906786278007
5463,8111395,EIVO,8392,9962,,1826,yes,5034,1195,,1,1,0,,0.23740549972679356
5464,11638527,Dagoth Ur,3765,11504,,1873,yes,6110,1168,,8,31,0,,0.2371199932995595
5465,1852356,Kirin,8317,9981,,1827,yes,3056,1274,,15,65,0,,0.2370851056296741
5466,14090122,RexDIEL,11622,9323,2529,1830,,,1271,yes,0,0,12,,0.23685694154998116
5467,20914468,yuri propaganda,5372,10779,7055,1696,,,1358,yes,0,0,3,yes,0.23671363149065752
5468,15858332,Steak Beef,2976,12008,,1887,yes,7048,1147,,23,64,0,,0.23666104018407486
5469,10233032,zezzeebka,9761,9662,3056,1809,,,1291,yes,0,0,186,,0.23634856884113642
5470,11044056,RediysLV,6987,10293,8461,1667,,,1329,yes,0,0,1,yes,0.2361777747120772
5471,3395820,Moltenfury,14164,8916,1840,1869,,,1249,yes,0,0,6,yes,0.23605166340756673
5472,1704801,surume yotyan,11225,9391,,1806,yes,2124,1341,,1,4,0,,0.2360507135205453
5473,14629123,zaki,8631,9904,2642,1825,,6187,1166,,1,2,22,,0.23586008742463907
5474,18513239,Zypher727,8772,9864,4151,1768,,,1303,yes,0,0,1,yes,0.2355610643572027
5475,3574127,Doginator,9701,9672,,1816,yes,2685,1299,,1,3,0,,0.23555713391869135
5476,13643180,Wedge,2954,12025,7080,1695,,,1426,yes,0,0,16,yes,0.23554386616550255
5477,14674726,boizzu,5039,10917,7716,1682,,,1366,yes,0,0,3,yes,0.23535226724688543
5478,22161251,Amaroq,7183,10251,7975,1676,,,1325,yes,0,0,1,yes,0.23516731183847256
5479,4811420,thac,11210,9394,2741,1821,,,1275,yes,0,0,57,,0.23513059809331105
5480,10640078,DancoreDanny,15022,8801,1943,1862,,,1242,yes,0,0,12,yes,0.23505572342066583
5481,13776087,I And a Stupid,10732,9481,2358,1839,,,1280,yes,0,0,2,yes,0.2345987412465898
5482,14849808,catmoc,7524,10171,,1833,yes,8823,1112,,1,1,0,,0.23453651618136737
5483,2955661,Mithra Tercera,17377,8504,6050,1718,,1491,1404,,35,142,1,yes,0.23443145804746013
5484,11342324,StellarOW,4003,11384,2924,1815,,6456,1160,,9,23,6,yes,0.2343107241315461
5485,10590812,jihoonn,8786,9861,3136,1806,,2959,1280,,6,15,8,yes,0.2343057414381956
5486,10339839,xydzina,6824,10336,,1838,yes,6860,1151,,1,2,0,,0.2342077382510102
5487,11636611,Icecream,5473,10740,3190,1804,,4354,1218,,9,27,3,yes,0.23413350354834608
5488,11498482,sayumujina_,11676,9315,2513,1831,,,1271,yes,0,0,10,yes,0.23391588487896725
5489,14575641,zhuqing,6463,10436,,1841,yes,5304,1188,,2,4,0,,0.233874298661464
5490,16069829,Honma Misuzu,4384,11192,2944,1814,,6172,1166,,3,16,4,yes,0.23384533214549583
5491,16576862,thatdog,6046,10559,4382,1761,,,1345,yes,0,0,14,,0.2338386392969456
5492,18531711,memjamim,12283,9208,2347,1839,,,1265,yes,0,0,9,yes,0.23379052208229836
5493,2526649,- Rosemary -,12349,9197,,1800,yes,1806,1369,,1,4,0,,0.23358507230187878
5494,6043627,cahsun,4868,10993,7531,1686,,6209,1165,,1,3,1,yes,0.23293660523159382
5495,17914356,alien69420,3809,11477,8510,1666,,5688,1178,,1,3,2,yes,0.23284278168045147
5496,17978570,-[ Dreepy ]-,7264,10230,7834,1679,,,1324,yes,0,0,1,yes,0.23273486880465238
5497,7371185,_ZKRoleo_,7322,10217,,1834,yes,4368,1218,,1,4,0,,0.2325828389049294
5498,9125328,Zeezus,5173,10857,,1854,yes,4424,1216,,23,76,0,,0.23232912218872476
5499,10611524,Zaclo123,6088,10544,,1845,yes,6935,1150,,1,3,0,,0.23207287622312014
5500,9231256,newbieqwert0000,8971,9818,3349,1798,,,1300,yes,0,0,7,yes,0.23205694104132277
5501,9984860,Ruvava,13096,9073,,1795,yes,2169,1336,,32,133,0,,0.23204800075480211
5502,16658220,JeffGamingYT,8303,9987,3710,1783,,,1309,yes,0,0,5,yes,0.2319597163517141
5503,6263574,Hixia,8367,9968,,1826,yes,3067,1274,,33,106,0,,0.23191211367683282
5504,14948784,mhum,8081,10042,,1829,yes,6575,1158,,1,1,0,,0.23180054364406508
5505,19322368,single dad,6416,10447,2414,1836,,9158,1107,,2,4,14,,0.2316018274890399
5506,18750748,Shogeki,10424,9537,,1812,yes,2619,1303,,43,136,0,,0.23148194093519953
5507,3525018,DT-sama,11195,9396,,1807,yes,2381,1320,,3,12,0,,0.23132424256619238
5508,9819240,NN4,5397,10769,,1851,yes,6051,1169,,2,6,0,,0.23104649205365882
5509,8437880,PankoCoff,8151,10025,,1828,yes,4386,1217,,1,2,0,,0.2309984806505635
5510,23764542,luneteo,11699,9311,2174,1849,,,1270,yes,0,0,3,yes,0.23082803575733357
5511,11484485,Mori Calliope,11540,9338,2426,1836,,,1272,yes,0,0,5,yes,0.23051389009414092
5512,9240047,loveleft,21589,8065,,1756,yes,1413,1414,,29,126,0,,0.2304622204374248
5513,8447637,Picon,6735,10360,,1839,yes,3666,1244,,8,40,0,,0.2301441283783363
5514,9043058,-Inui Sana-,4376,11197,2587,1828,,5789,1176,,36,136,7,yes,0.22998350523284036
5515,11884894,Aemi,10405,9542,2957,1813,,,1284,yes,0,0,58,,0.22983123948676515
5516,11361145,bwa,9022,9807,2856,1817,,6120,1167,,1,1,16,,0.22960129669137222
5517,12894333,Dodick,6963,10300,8839,1660,,,1329,yes,0,0,1,yes,0.22940472871954967
5518,11766556,Akiraie,7756,10118,,1831,yes,4353,1218,,2,3,0,,0.229079656963042
5519,10686650,reptain,6385,10457,,1842,yes,5534,1182,,1,4,0,,0.2287889929478748
5520,26479859,kowalik,5647,10678,5993,1719,,,1353,yes,0,0,4,yes,0.2287864322239633
5521,9480633,Alexc99xd,6904,10315,,1837,yes,3631,1246,,12,34,0,,0.2286675274128277
5522,9346140,FunOranges Son,6677,10374,,1839,yes,7461,1139,,2,2,0,,0.22856367648846213
5523,2987597,Calamityx7,13030,9085,,1796,yes,2133,1340,,8,28,0,,0.22842829483914676
5524,2260613,Syga,7785,10110,,1831,yes,5027,1196,,1,2,0,,0.2281861966487277
5525,11760440,-benzo,5713,10655,5118,1741,,,1351,yes,0,0,7,yes,0.22812229288108568
5526,24657559,tan-X,8215,10009,3571,1788,,,1310,yes,0,0,13,yes,0.22802901789026328
5527,6004937,Kynexiz,5221,10835,,1854,yes,6985,1148,,2,5,0,,0.22800777565724778
5528,9453854,makoto,7969,10072,,1829,yes,7324,1141,,1,1,0,,0.22782660906235755
5529,10725467,michaelscarn60,7984,10067,3754,1781,,,1314,yes,0,0,8,yes,0.22770179626085893
5530,15869987,jelq,5257,10820,5732,1725,,,1361,yes,0,0,6,yes,0.22736165265333796
5531,12078117,FaltoS,7080,10271,,1836,yes,4221,1223,,1,6,0,,0.2272407443143418
5532,3946607,Zigzagoon,13705,8984,3934,1775,,1918,1359,,18,56,2,yes,0.2270872398152535
5533,5958063,eerie,6066,10550,2626,1826,,4694,1206,,29,86,21,,0.22675200428798625
5534,19952365,Cursive,7151,10257,8397,1668,,,1326,yes,0,0,1,yes,0.22673341635373093
5535,17312941,Water1em0n,7213,10244,4397,1761,,,1325,yes,0,0,5,yes,0.22665784064892744
5536,6886572,Fox Stevenson,8270,9995,,1827,yes,3209,1265,,4,17,0,,0.2265855196933839
5537,19423657,KokyoTokyo,7867,10092,4840,1748,,,1315,yes,0,0,2,yes,0.22652855032175173
5538,30685000,Menajis6,24970,7763,1657,1882,,2052,1346,,17,49,15,,0.2264712427899391
5539,3619583,Blendra,3182,11860,,1883,yes,7110,1146,,17,40,0,,0.22642713312346335
5540,9629457,Kwstv,8996,9813,,1821,yes,3150,1268,,1,3,0,,0.22642552325330664
5541,10496223,cai0,10550,9514,2203,1847,,3247,1263,,30,103,7,yes,0.22640033884925756
5542,14471463,Deleted_User401,9029,9804,3320,1799,,,1300,yes,0,0,14,yes,0.2261145274960603
5543,1616533,Riviclia,9764,9661,,1816,yes,2770,1294,,1,5,0,,0.22611407710993603
5544,15242603,9mi9,28613,7506,773,1970,,2922,1283,,7,22,9,yes,0.2260378562279424
5545,21787166,heizin,7146,10258,8459,1667,,,1326,yes,0,0,1,yes,0.2257201400987485
5546,14215009,meowrz,9448,9721,3174,1804,,,1295,yes,0,0,71,,0.2256632610888336
5547,12383040,Katr7ne,7335,10215,3722,1782,,,1323,yes,0,0,45,,0.22560584414065307
5548,11441941,Brainage,4782,11027,,1859,yes,8166,1125,,2,5,0,,0.22555989101347962
5549,35808289,tettii0515,9671,9676,3139,1806,,,1292,yes,0,0,4,yes,0.2254552619456126
5550,13248978,Emeraude,6063,10551,,1845,yes,5580,1181,,3,5,0,,0.22525892236664563
5551,12346522,Oreonator,7445,10189,,1833,yes,5772,1176,,1,2,0,,0.22512293661648963
5552,3513687,kittenrequiem,7464,10186,4245,1765,,,1321,yes,0,0,5,yes,0.2250788899855137
5553,13334570,siIver,7677,10135,4025,1772,,,1318,yes,0,0,6,yes,0.2249833452020779
5554,31259935,sizakunn,5601,10695,4895,1746,,,1354,yes,0,0,10,yes,0.2248353774744542
5555,16262815,Kevinx,10903,9450,2879,1816,,,1278,yes,0,0,58,,0.22481233563006142
5556,11705341,-Line-,15201,8778,1503,1893,,,1241,yes,0,0,4,yes,0.2248095650055319
5557,10100473,Lounari,14180,8914,2196,1847,,,1249,yes,0,0,19,,0.22464526861249107
5558,3527075,JJSNET,8606,9909,,1824,yes,4896,1200,,1,1,0,,0.22458602070373782
5559,6764156,Ayase Eli,8476,9939,,1825,yes,5299,1188,,1,1,0,,0.22445264757816133
5560,6362553,Syre,7903,10085,,1830,yes,3996,1231,,2,4,0,,0.2243882797830636
5561,2916414,-PC,19137,8309,,1766,yes,1310,1429,,2,12,0,,0.22438681770043573
5562,9101605,Asa3,11646,9319,1738,1876,,4098,1227,,43,157,16,yes,0.2241735252662032
5563,16790203,krencior__,4682,11069,2594,1828,,7734,1134,,3,7,1,yes,0.22412279580070152
5564,17185283,Their Bozo,7217,10242,5703,1726,,,1325,yes,0,0,2,yes,0.22383524884392983
5565,19716237,NeVoyed,16790,8574,1864,1867,,,1230,yes,0,0,18,,0.2236295345315289
5566,19615624,Crunchy--,7633,10146,3993,1773,,,1319,yes,0,0,7,yes,0.22334080327468298
5567,4137401,Neet Sama,8841,9849,,1822,yes,3215,1265,,1,4,0,,0.2232000888058246
5568,4586416,Destino,6407,10449,3454,1793,,3489,1251,,6,18,55,,0.2229882315337418
5569,14505253,Czosnus,7753,10118,,1831,yes,8540,1118,,1,1,0,,0.22297462388516956
5570,10097973,Sergitor,7911,10084,,1830,yes,4011,1231,,2,4,0,,0.22295381050924926
5571,11376203,FaoW,22410,7985,1448,1897,,,1196,yes,0,0,25,,0.22261618053277438
5572,18628006,xek,11158,9406,2114,1852,,6792,1153,,1,1,6,yes,0.22260374388526602
5573,15145155,ielia,18371,8391,,1769,yes,1651,1386,,26,95,0,,0.22243129653038554
5574,15095373,flacko,23441,7893,1162,1923,,,1190,yes,0,0,11,,0.22234904646685494
5575,6993804,NEET Alice,8522,9930,3543,1789,,,1306,yes,0,0,9,yes,0.22216852675117854
5576,13365884,Kou_,7935,10078,3560,1788,,,1314,yes,0,0,86,,0.22209531756777862
5577,8133117,Oliver Aiku,6191,10514,,1844,yes,4082,1228,,8,29,0,,0.222006491121933
5578,4513243,Trolleubyc,7602,10151,7403,1689,,,1319,yes,0,0,1,yes,0.22200105913358825
5579,9186316,Shii,5041,10916,4674,1752,,5634,1179,,1,1,11,yes,0.2219494933642421
5580,12506411,KeqingMyBeloved,14142,8918,,1790,yes,2013,1349,,12,35,0,,0.2218282563561111
5581,17449596,Cerelydra,15883,8691,,1781,yes,1884,1362,,28,104,0,,0.22164609769510452
5582,11740219,Takane,5495,10732,4476,1758,,3395,1256,,2,3,12,,0.22134555791075075
5583,11915154,i hate osu,5148,10867,4133,1768,,4839,1201,,2,3,11,yes,0.22133138852161197
5584,14420220,Iucany,13631,8996,,1792,yes,2160,1338,,51,177,0,,0.22105771549316494
5585,13233381,GeKa_Z,9716,9669,3155,1805,,,1291,yes,0,0,9,,0.22050181809046054
5586,20758324,4lef,10827,9462,2807,1819,,,1279,yes,0,0,8,yes,0.22047698635531537
5587,2779019,Desur,7001,10290,,1837,yes,3823,1238,,5,16,0,,0.22025470705371625
5588,5932021,Hidemi,7280,10227,,1835,yes,3868,1236,,4,10,0,,0.22022993104514615
5589,15190227,Zedegar,8979,9817,3340,1798,,,1300,yes,0,0,31,,0.22019212962275547
5590,12708052,Blonk_,15945,8683,2143,1850,,,1235,yes,0,0,100,,0.2201513704247019
5591,2272413,Esemoka,2339,12488,4491,1758,,7729,1134,,47,132,1,yes,0.2200248407087288
5592,14349902,_Shroob,7076,10271,,1836,yes,4805,1202,,2,4,0,,0.21969828994057228
5593,2927048,EEEEEEEEEEEEEEE,7845,10096,,1830,yes,3656,1245,,3,8,0,,0.2195321360913998
5594,16628019,DrSkillIssue,9339,9743,3298,1800,,,1296,yes,0,0,9,yes,0.2194647752692005
5595,20284063,KUBUS PUCHATEK,8491,9936,,1825,yes,5510,1183,,1,1,0,,0.21937414047672132
5596,29676811,danib0k,5965,10582,5035,1743,,,1346,yes,0,0,7,yes,0.21918402024904904
5597,9765324,KakirM,14117,8922,2544,1830,,2279,1327,,34,120,3,yes,0.21910243124076237
5598,12159681,KriO-O,7378,10206,1796,1873,,7979,1128,,2,7,6,yes,0.21906064261251249
5599,11971210,Cuckyeezy,9312,9747,,1819,yes,3044,1275,,1,3,0,,0.21893283383205628
5600,24171531,BalliMurphy,6879,10322,3975,1773,,,1330,yes,0,0,23,,0.2188303279323555
5601,13056171,skytorex22,7925,10081,,1830,yes,8085,1127,,1,1,0,,0.21881634641940761
5602,8957275,Aviaty,9042,9803,,1821,yes,3043,1275,,2,8,0,,0.21865381361478842
5603,15937097,wuyiomokunrin,16003,8676,1998,1858,,,1235,yes,0,0,21,yes,0.21861399449353003
5604,9915240,Headdesking1,8554,9924,,1825,yes,3671,1244,,1,3,0,,0.2183600889300848
5605,15762494,ilikeyuri,11516,9341,,1805,yes,2226,1333,,3,5,0,,0.2183560321721147
5606,15660923,MyAngelAsagiri,6981,10295,4013,1772,,,1329,yes,0,0,17,,0.21760470031755097
5607,6069345,Serra,10499,9522,2940,1814,,,1283,yes,0,0,8,yes,0.21756357979875524
5608,4746949,Dasvidaniya,5416,10765,,1851,yes,6333,1163,,3,6,0,,0.21731137994103225
5609,17706086,reshamen,4359,11206,,1865,yes,5162,1192,,52,163,0,,0.21716307382146394
5610,23109316,Dlgits,11919,9274,2556,1829,,,1268,yes,0,0,10,yes,0.217134340556591
5611,22043103,faorit002,11642,9320,2632,1826,,,1271,yes,0,0,10,yes,0.217105542919669
5612,15237624,Courting,8944,9825,,1821,yes,4235,1222,,1,1,0,,0.21666038901731807
5613,11379588,Majernja,16519,8608,1969,1860,,,1231,yes,0,0,24,,0.21647636120278108
5614,22666605,G8pple,7282,10226,8458,1667,,,1324,yes,0,0,1,yes,0.21642431537188558
5615,12286567,Villee,8543,9925,,1825,yes,3722,1242,,1,3,0,,0.21608224819196595
5616,11110217,HNKNTA,5861,10615,,1847,yes,6088,1168,,1,5,0,,0.21602963570012504
5617,14548572,HG-Gaming,12177,9229,7156,1694,,1731,1377,,11,49,2,yes,0.21591608758202646
5618,13710782,makkgmr,9188,9772,3935,1775,,,1298,yes,0,0,1,yes,0.21575495510335466
5619,16228395,SHAKERANDO,8743,9871,,1823,yes,4775,1203,,1,1,0,,0.21568969959215822
5620,7991329,Miyazumi,6236,10503,6150,1715,,,1341,yes,0,0,3,yes,0.21563938575202207
5621,11687585,kukoyoshi,8201,10011,2236,1845,,8061,1127,,1,3,7,yes,0.21561845073473765
5622,14133623,0000,16472,8614,2103,1852,,,1232,yes,0,0,108,,0.21507847125106533
5623,3723568,Kujinn,2865,12078,7178,1693,,,1429,yes,0,0,20,,0.21507205648340733
5624,13383053,THchelo21,9614,9684,3246,1802,,,1293,yes,0,0,6,yes,0.21485755333344286
5625,14375764,Eriko,12794,9121,2274,1843,,,1260,yes,0,0,7,yes,0.21468273500209972
5626,10411280,Filipuer,7659,10140,7529,1686,,,1318,yes,0,0,1,yes,0.2146551046635366
5627,2570828,jms8720,17810,8454,,1772,yes,1624,1388,,8,30,0,,0.21464536147033825
5628,17550018,Ynreeq,3900,11435,6319,1711,,,1394,yes,0,0,13,,0.21456094434147133
5629,15928429,JOHN FEMBOY,21285,8094,1574,1887,,,1203,yes,0,0,28,,0.21444071003290427
5630,4342947,NANJO UMINEKO,8177,10019,3916,1775,,2554,1308,,3,11,17,,0.2143042717777414
5631,8099769,b3d,7534,10168,3444,1794,,4828,1202,,1,2,5,yes,0.21423788100111776
5632,32023174,glass beach fan,6892,10317,2677,1824,,5369,1186,,3,8,10,yes,0.2140817068858266
5633,22567919,Boshyxd,4546,11123,,1862,yes,7735,1134,,3,7,0,,0.21402203903063868
5634,21622033,Cangrani,6711,10366,4551,1756,,7039,1147,,1,1,2,yes,0.21398256892067885
5635,21537002,CRISTIANGT56,6260,10496,4473,1758,,,1341,yes,0,0,13,yes,0.21378676265502244
5636,8374130,Sadotaku,9541,9702,,1817,yes,2895,1285,,7,24,0,,0.2134718767520051
5637,7498203,SecretlyShiro,11098,9418,,1807,yes,2595,1305,,41,135,0,,0.213300942550876
5638,8010739,Gris,8936,9826,,1821,yes,3107,1271,,3,9,0,,0.2131779090192248
5639,7819479,Kuman,4844,11005,,1859,yes,6033,1170,,4,12,0,,0.21292793740530117
5640,13648653,GSDark,2876,12073,,1889,yes,9229,1106,,5,18,0,,0.2126864547082069
5641,16801578,noneght,21455,8077,1563,1888,,,1202,yes,0,0,27,,0.21261995502315448
5642,21443063,66socks,4216,11268,5522,1730,,,1386,yes,0,0,25,,0.21252640503448206
5643,1661227,Satellite,10202,9581,4363,1762,,2164,1337,,3,8,3,yes,0.21234825024560328
5644,33748469,BErzukai,10040,9611,3128,1806,,,1288,yes,0,0,17,,0.2121819035985245
5645,6363335,lyrdae,6929,10309,6348,1711,,,1330,yes,0,0,2,yes,0.21195589121559652
5646,29103059,Swipe,6715,10365,4043,1771,,,1333,yes,0,0,32,,0.21184377435814772
5647,9360417,qqqq,6213,10509,,1843,yes,4395,1217,,7,16,0,,0.21182893961553478
5648,12794121,AR8,4284,11241,6607,1705,,,1384,yes,0,0,8,yes,0.21170889239370705
5649,13353897,literally a cat,6880,10322,3660,1785,,4770,1203,,1,3,3,yes,0.21155662398116115
5650,8902981,Ace4896,7362,10211,,1834,yes,4262,1221,,1,6,0,,0.21145929717004003
5651,11195133,Jake Boii,3698,11545,8176,1672,,4480,1213,,7,13,2,yes,0.21140806386271552
5652,6085929,Sliimex3,5241,10825,,1853,yes,4581,1210,,25,79,0,,0.21137206047687246
5653,8085014,FGCiel,14505,8870,1357,1905,,4346,1218,,4,13,9,yes,0.2110845949812098
5654,11919660,PAcuTeMHAduLIIA,6483,10428,,1841,yes,5776,1176,,3,4,0,,0.2110733080052194
5655,12659448,CyriS-,7706,10130,,1831,yes,4381,1217,,1,4,0,,0.21098670486127602
5656,20586695,LeivanTZH,8542,9926,4319,1763,,,1306,yes,0,0,2,yes,0.21035965139701923
5657,17373073,h1ngetu,5950,10585,4442,1759,,,1347,yes,0,0,24,,0.21017944630366484
5658,19951508,zitn,8573,9920,,1825,yes,5709,1177,,1,1,0,,0.21015482002977454
5659,2194763,Antares-,12639,9144,2069,1854,,3550,1249,,5,18,21,,0.21010186484683863
5660,4423756,Destru,9057,9800,3418,1795,,,1299,yes,0,0,14,yes,0.20988022753157506
5661,13738039,Extrald,4122,11321,5641,1727,,4089,1227,,1,1,15,yes,0.20974063839625157
5662,19459571,Renoki,6995,10291,,1837,yes,7332,1141,,1,2,0,,0.2095382914235697
5663,13232288,jomapisa,8654,9897,,1824,yes,5388,1185,,1,1,0,,0.20942935327367931
5664,579370,SKaiBlue,5222,10835,,1853,yes,4597,1209,,26,91,0,,0.20940513760336368
5665,25137003,Node09,6135,10532,,1844,yes,6432,1160,,1,4,0,,0.20938257163432603
5666,13928194,rtd_,3911,11431,6408,1709,,2056,1346,,1,3,30,,0.2093420663019544
5667,4192956,Kmg,6324,10477,,1842,yes,5223,1190,,2,6,0,,0.2090970515519409
5668,18053628,Sami1_old_1,7641,10144,3855,1777,,,1318,yes,0,0,16,,0.2088530098779111
5669,8185366,Best459,13982,8945,3836,1778,,1887,1361,,27,110,6,yes,0.2087623454147427
5670,9632132,ScholasticOG,7417,10196,3147,1805,,6619,1156,,1,2,33,,0.2086583941259028
5671,4422457,Duskyui,8965,9820,,1821,yes,3299,1260,,1,4,0,,0.20865262239901228
5672,12055929,kinchin,3681,11556,6053,1717,,,1401,yes,0,0,25,,0.20865066393927428
5673,2840499,elii,8418,9955,,1826,yes,3201,1265,,19,62,0,,0.20835499350069858
5674,13192231,bobstevenson,5729,10649,,1848,yes,4594,1210,,5,22,0,,0.20824187878655814
5675,15169389,Fewze,6864,10324,,1838,yes,6021,1170,,2,3,0,,0.20823400789536717
5676,13227631,Fujiwara,6537,10413,,1840,yes,8733,1114,,2,2,0,,0.20822672013704696
5677,15189392,StalkerHUN,6949,10304,,1837,yes,3976,1232,,5,17,0,,0.20820883990045108
5678,10436444,Lian Elinor,11890,9278,,1803,yes,2490,1313,,32,121,0,,0.20816715532948085
5679,30763575,Spectral927,5263,10818,9897,1642,,,1361,yes,0,0,2,yes,0.20816631844329092
5680,12556610,endogz,10972,9437,2502,1832,,,1278,yes,0,0,2,yes,0.20778630768195971
5681,34326936,Sanvie,3804,11482,2958,1813,,8664,1115,,4,13,33,,0.20775580631358312
5682,18450729,bunny,9360,9737,3380,1797,,,1296,yes,0,0,9,yes,0.20772344405789092
5683,14945389,Xukany,5974,10579,,1846,yes,6784,1153,,2,4,0,,0.20771947389580298
5684,3885547,Downsy,7321,10218,,1834,yes,4201,1223,,2,7,0,,0.2075980055838215
5685,385069,ruexia,10924,9445,,1808,yes,2240,1331,,1,2,0,,0.2072465174737917
5686,11921527,[ - Kev - ],6493,10424,4419,1760,,,1337,yes,0,0,13,yes,0.20703831166791148
5687,15672460,Galactic Shift,8946,9824,2317,1841,,5481,1183,,1,2,2,yes,0.20686293133069028
5688,16375942,Tsukime,2430,12405,,1898,yes,8426,1120,,42,130,0,,0.20675728105114916
5689,13156985,nekoflask,10202,9581,3099,1808,,,1286,yes,0,0,4,yes,0.20671223745288875
5690,15289150,Alvaroping1,7538,10167,1652,1882,,9744,1096,,5,20,83,,0.20646801763724326
5691,4369636,Hiagg,4579,11106,5525,1730,,,1376,yes,0,0,17,yes,0.20607929273919895
5692,5152999,ricecustomer,7514,10174,,1833,yes,3862,1236,,4,11,0,,0.20602662230307525
5693,3611422,Moshu,7013,10285,,1836,yes,3867,1236,,7,23,0,,0.2057189242775717
5694,11097925,vikikle,4771,11031,5264,1737,,,1372,yes,0,0,22,,0.20563972360106778
5695,7652852,Kenzol,11485,9346,,1805,yes,2559,1307,,25,94,0,,0.2056373550589226
5696,11624188,Garret,8549,9924,2059,1855,,5144,1192,,7,14,8,yes,0.20538992392823824
5697,3677251,Zygody,14001,8941,,1790,yes,2179,1336,,47,195,0,,0.20538283237049182
5698,15803723,TripleR,7564,10159,8087,1674,,,1320,yes,0,0,1,yes,0.2051542171415367
5699,10233705,-Zeraora-,19682,8253,1689,1880,,,1212,yes,0,0,20,,0.2051067213685502
5700,17671153,- ice -,5966,10582,4745,1750,,,1346,yes,0,0,12,yes,0.20509103233904036
5701,17273090,AshJAM,6690,10371,,1839,yes,5156,1192,,3,5,0,,0.204949675659713
5702,14617228,Ch3mson,6996,10291,,1837,yes,7508,1137,,1,2,0,,0.20492026974478653
5703,21513979,cxlturs,16637,8593,1390,1902,,5081,1194,,5,16,50,,0.20460293567496524
5704,7301672,VowsTheFool,8185,10017,3496,1791,,3139,1269,,4,7,14,yes,0.20448824993685258
5705,9107542,YuiYui,3910,11432,,1871,yes,6764,1154,,8,23,0,,0.20433290669001958
5706,15202380,- Harehi -,5699,10660,7299,1691,,3750,1241,,4,16,1,yes,0.20406126818319809
