hybrid_rank,user_id,username,pp_rank,pp,elo_rank,elo_rating,elo_estimated,otr_rank,otr_rating,otr_estimated,tournaments_played,matches_played,plays,provisional,hybrid_score
223,10975777,CutPaper,1925,12908,,1911,yes,141,2020,,39,153,0,,2.7567342215151838
224,15887523,SinqHD,1096,14035,201,2110,,201,1940,,28,105,11,,2.7503903594790433
225,4780986,Smarteyy,1067,14085,256,2084,,176,1967,,24,130,37,,2.750268967321989
226,11479551,[Q],1107,14012,210,2105,,195,1946,,42,211,6,yes,2.7499228326323832
227,7438459,ricoel,749,14844,,1957,yes,216,1924,,36,140,0,,2.744364135262904
228,11320627,MejiroMcQueen,980,14252,174,2126,,220,1919,,33,137,5,yes,2.7439302953439313
229,9896317,RyooYamada,71,20270,143,2141,,615,1632,,15,44,30,,2.7413716111654014
230,612898,nicki1324,275,17044,,2002,yes,307,1831,,34,132,0,,2.7371183706264883
231,3171691,BTMC,305,16819,138,2144,,394,1755,,38,205,30,,2.735029293462347
232,9227895,LordGabriel,204,17674,,2014,yes,339,1807,,16,74,0,,2.733059674805128
233,11604978,luciano,127,18778,,2034,yes,386,1764,,28,106,0,,2.7305544038977096
234,16774872,skia1,1244,13766,,1932,yes,172,1969,,43,141,0,,2.729254054148928
235,6942259,Rebo,378,16304,494,2016,,207,1931,,88,282,13,yes,2.7192598043410863
236,4470775,razorfruit,458,15896,,1979,yes,263,1870,,31,110,0,,2.7143766290962272
237,16227745,F2X,1088,14044,213,2104,,222,1916,,54,215,21,yes,2.7073528078705795
238,10223298,NOUMEN BREAK,484,15788,,1977,yes,259,1871,,38,100,0,,2.7038866600665328
239,4852013,Monko2k,622,15209,,1965,yes,238,1890,,27,124,0,,2.6911958627118113
240,15296720,freezes,35,22216,,2089,yes,1003,1491,,1,3,0,,2.6898206034555674
241,10323184,Flaro,54,20890,237,2096,,577,1647,,27,73,32,,2.676891333166754
242,6989615,UC2,9678,9675,,1816,yes,70,2174,,53,250,0,,2.672046117147505
243,11940767,Carlosflow,1119,13994,109,2172,,288,1848,,83,338,6,yes,2.6682472145224834
244,9767342,Flyer,1284,13703,145,2141,,232,1900,,11,46,7,yes,2.668217863013539
245,10958852,lifetime,780,14762,159,2135,,305,1835,,81,288,10,yes,2.667054083283557
246,10909049,Crestive,797,14684,61,2229,,432,1724,,53,170,12,yes,2.661721873572894
247,16036374,MR JEFFERY,1195,13837,90,2189,,346,1804,,15,50,16,,2.660886080562068
248,17235399,superi0r,21,24097,231,2099,,925,1515,,6,19,6,yes,2.658286823160221
249,3533958,fieryrage,697,14997,656,1988,,191,1950,,100,499,5,yes,2.649358822092597
250,4980135,Behwall,6475,10432,,1841,yes,88,2116,,38,214,0,,2.642563644902055
251,11800154,Sherbet,498,15701,75,2210,,584,1645,,1,6,16,yes,2.6406734048635476
252,16509171,uatzap,822,14613,298,2065,,229,1908,,29,101,6,yes,2.640335821588028
253,9211924,Melvr,352,16465,,1991,yes,326,1817,,65,211,0,,2.6398904868804696
254,12353810,papercandle,193,17835,319,2057,,366,1779,,29,100,5,yes,2.6349060634366475
255,10398348,-Puyu,773,14784,179,2122,,324,1817,,28,93,33,,2.6294328800047304
256,1492995,zonelouise,303,16846,292,2066,,342,1806,,29,108,26,,2.6207296612410684
257,17446380,bananachi,133,18646,434,2028,,356,1792,,21,62,23,,2.619511326371783
258,19256705,Cymango,283,16981,,2001,yes,344,1806,,4,18,0,,2.617648091889864
259,754565,Dustice,582,15353,,1968,yes,279,1854,,23,125,0,,2.6104249094026333
260,3792472,Woey,757,14820,259,2083,,283,1853,,43,197,59,,2.600113820997441
261,4750008,Skydiver,1124,13978,378,2040,,199,1943,,52,249,11,,2.5998502441354274
262,8698024,defii,817,14625,,1952,yes,245,1880,,49,192,0,,2.5997349850894116
263,8788058,Jakson,448,15955,169,2128,,396,1754,,72,248,13,yes,2.5976178606396276
264,1650010,Aireu,434,16045,,1983,yes,323,1818,,38,199,0,,2.596188923245255
265,8666950,karate,1073,14070,206,2107,,286,1849,,71,274,40,,2.5953350011731144
266,3062998,rollpan,2321,12512,,1901,yes,163,1982,,37,148,0,,2.5944379012088725
267,11415230,Gambler,5124,10879,,1855,yes,113,2078,,30,104,0,,2.5899759175572092
268,12169267,315,109,19160,,2041,yes,483,1698,,7,29,0,,2.58992911554132
269,12069464,flayy,642,15137,124,2158,,,1598,yes,0,0,117,,2.587876154629627
